formula_config,output_type,icon,description,input_fields,related_tool_ids,long_description,featured_image,seo_title,is_trending,usage_count,category_id,faq,name,seo_description,formula_type,sort_order,slug,is_featured,status,seo_keywords,id,created_date,updated_date,created_by_id,created_by,is_sample
"","text","Minimize2","Real PDF compression via page re-rendering. Target 50KB/100KB/200KB. DPI control, grayscale, metadata removal. Genuine 50-90% size reduction.","[]","[]","<p><strong>Real PDF compression</strong> — pages are re-rendered via PDF.js and recompressed as JPEG, achieving genuine 50–90% size reduction. Set target sizes (50KB, 100KB, 200KB+) and the tool binary-searches for the best quality that fits. DPI control, grayscale mode, and metadata removal included.</p>","","PDF Size Reducer — Compress PDF to 100KB 200KB Online Free","true","8513","69ffed31dfb6ae9768b83391","[]","PDF Size Reducer","Reduce PDF file size online. Target 50KB, 100KB, 200KB, 500KB or 1MB output. Quality presets, metadata removal. 100% browser-based, private.","","10","pdf-size-reducer","true","published","pdf size reducer, compress pdf online, reduce pdf size, pdf compressor 200kb","6a05ddf9bca1c7335867f589","2026-05-14T14:36:41.579000","2026-05-14T15:28:54.704000","69ffeaa17ae1df15a357b75e","arulraj8637@gmail.com","false"
"","text","ImageIcon","Convert PDF pages to high-quality JPG or PNG images. Control DPI, quality, and select specific pages to export.","[]","[]","<p>Convert any PDF page to high-resolution images. Choose JPEG or PNG format, set DPI from 72 to 288, select specific page ranges, and download individually. All processing is client-side.</p>","","PDF to Image Converter Online — Convert PDF Pages to JPG PNG","false","6203","69ffed31dfb6ae9768b83391","[]","PDF to Image","Convert PDF pages to JPG or PNG images online. Select specific pages, control DPI and quality. Free, instant, browser-based PDF to image converter.","","11","pdf-to-image","true","published","pdf to image, pdf to jpg, pdf to png, convert pdf pages to images online","6a05ddf9bca1c7335867f58a","2026-05-14T14:36:41.579000","2026-05-14T15:06:43.750000","69ffeaa17ae1df15a357b75e","arulraj8637@gmail.com","false"
"","text","FileImage","Convert multiple JPG, PNG, WebP images to a PDF. Control page size, orientation, fit mode, margins, and image quality.","[]","[]","<p>Convert one or more images into a professional PDF document. Choose A4, Letter, or A3 page sizes, set portrait or landscape orientation, control image fit modes (fit, fill, stretch), adjust margins, and set JPEG quality. Supports grayscale output for exam portals.</p>","","Image to PDF Converter Online — JPG PNG WebP to PDF Free","true","7803","69ffed31dfb6ae9768b83391","[]","Image to PDF","Convert JPG, PNG, WebP images to PDF online free. Multiple images, A4/Letter page size, fit modes, margins, and quality control. 100% client-side.","","12","image-to-pdf","false","published","image to pdf, jpg to pdf converter, png to pdf, multiple images to pdf","6a05ddf9bca1c7335867f58b","2026-05-14T14:36:41.579000","2026-05-14T15:08:39.837000","69ffeaa17ae1df15a357b75e","arulraj8637@gmail.com","false"
"","text","ScanLine","CamScanner-grade scanner: shadow removal, adaptive thresholding, unsharp masking. 5 scan modes, batch processing, fine-tune controls, PDF export.","[]","[]","<p><strong>CamScanner-grade document enhancement</strong> with 5 scan modes: Magic Scan (shadow removal + whitening + unsharp masking), Document (high-contrast text), B&W (adaptive thresholding), Color Enhance, and Soft. Pixel-level processing pipeline, multi-image batch scan, PDF export. Fine-tune contrast, brightness, and B&W sensitivity.</p>","","Document Scanner Online — Scan & Enhance Photos to PDF Free","true","9116","69ffed31dfb6ae9768b83391","[]","Document Scanner","Scan documents online using your phone camera. Enhance photos to clean scanned documents with contrast boost, shadow removal. Export JPG or PDF. Free.","","13","document-scanner","true","published","document scanner online, scan document to pdf, enhance document photo, mobile scanner","6a05ddf9bca1c7335867f58c","2026-05-14T14:36:41.579000","2026-05-14T15:05:47.021000","69ffeaa17ae1df15a357b75e","arulraj8637@gmail.com","false"
"","text","Scissors","Visual thumbnail page selector — click pages to extract, use range input (1,3,5-8). Progressive thumbnail loading, quality-preserving extraction.","[]","[]","<p><strong>Visual page extractor</strong> with thumbnail preview grid powered by PDF.js. Click pages to select, use range input (1,3,5-8), or select all/none. Supports up to 40 visual thumbnails with progressive loading. Preserves original PDF quality in extracted output.</p>","","PDF Page Extractor — Extract Pages from PDF Online Free","false","4301","69ffed31dfb6ae9768b83391","[]","PDF Page Extractor","Extract specific pages from PDF online. Enter page numbers or ranges like 1,3,5-8. Download as new PDF. Free, instant, browser-based extraction.","","14","pdf-page-extractor","false","published","pdf page extractor, extract pages from pdf, pdf page range, split pdf pages","6a05ddf9bca1c7335867f58d","2026-05-14T14:36:41.579000","2026-05-14T14:58:29.042000","69ffeaa17ae1df15a357b75e","arulraj8637@gmail.com","false"
"","text","FileCheck","Government exam portal optimizer — SSC, Railway, Banking, UPSC presets. Auto-compress certificates, Aadhaar, PAN, mark sheets to exact KB targets.","[]","[]","<p><strong>Exam-portal optimized PDF compressor</strong> for SSC, Railway, Banking, UPSC, TNPSC portals. Binary-search quality algorithm finds the best JPEG quality that fits within your target KB. Presets for Certificate (200KB), Mark Sheet (300KB), Aadhaar (100KB), PAN (80KB). All processing client-side.</p>","","Exam Document PDF Compressor — Compress PDF for Exam Portals Online","true","12403","69ffed31dfb6ae9768b83391","[]","Exam Document PDF Compressor","Compress exam documents PDF for SSC, IBPS, RRB portals. Certificate 200KB, Aadhaar 100KB, PAN 80KB presets. Free, fast, browser-based compression.","","15","exam-pdf-compressor","true","published","exam document compressor, compress pdf for exam portal, certificate pdf compressor, aadhaar pdf compress","6a05ddf9bca1c7335867f58e","2026-05-14T14:36:41.579000","2026-05-14T15:08:49.536000","69ffeaa17ae1df15a357b75e","arulraj8637@gmail.com","false"
"","text","User","Resize photos to exact SSC CGL, CHSL, MTS dimensions and KB limits. Supports all SSC exam photo requirements.","[]","[]","<p>Resize your passport photo to exactly what SSC exams require — 100×120 px, 4 to 20 KB. Binary-search quality optimization ensures your image hits the target KB.</p>","","SSC Photo Resizer Online - Resize to 100x120px 20KB for SSC CGL CHSL","true","8202","6a05c839e01b09d2ad6710ce","[]","SSC Photo Resizer","Free online SSC photo resizer. Resize your photo to exact SSC CGL, CHSL, MTS dimensions (100×120 px, max 20 KB). Works in browser, no upload needed.","","1","ssc-photo-resizer","true","published","","6a05c87de01b09d2ad6710f8","2026-05-14T13:05:01.680000","2026-05-15T00:49:31.358000","69ffeaa17ae1df15a357b75e","arulraj8637@gmail.com","false"
"","text","PenLine","Resize and enhance your signature for SSC exams. Exact 140×60 px, max 12 KB with black ink enhancement.","[]","[]","<p>Prepare your signature for SSC exam portals. Automatically resizes to 140×60 px within 12 KB and enhances ink contrast by darkening the signature and whitening the background.</p>","","SSC Signature Resizer - Resize Signature to 140x60px 12KB Online","false","5600","6a05c839e01b09d2ad6710ce","[]","SSC Signature Resizer","Resize your signature for SSC exams online. Exact 140×60 px, max 12 KB. Ink enhancement, background cleaning. 100% free, browser only.","","2","ssc-signature-resizer","true","published","","6a05c87de01b09d2ad6710f9","2026-05-14T13:05:01.680000","2026-05-14T13:05:01.680000","69ffeaa17ae1df15a357b75e","arulraj8637@gmail.com","false"
"","text","Train","Resize photos for RRB NTPC, Group D, ALP, and JE exams to exact pixel dimensions and KB limits.","[]","[]","<p>Prepare your photo for all Railway recruitment exams including RRB NTPC, Group D, ALP, and JE. Exact dimensions and KB targeting.</p>","","Railway Exam Photo Resizer - RRB NTPC Group D Photo Resize Online","true","6100","6a05c839e01b09d2ad6710ce","[]","Railway Photo Resizer","Resize photo for RRB NTPC, Group D, ALP exams. Exact 100×120 px, 10-40 KB. Free online tool, no upload to server.","","3","railway-photo-resizer","false","published","","6a05c87de01b09d2ad6710fa","2026-05-14T13:05:01.680000","2026-05-14T13:05:01.680000","69ffeaa17ae1df15a357b75e","arulraj8637@gmail.com","false"
"","text","Landmark","Resize photos and signatures for IBPS PO, SBI PO/Clerk, RBI, and NABARD exams to exact specifications.","[]","[]","<p>Quickly prepare exam-ready photos and signatures for IBPS PO, IBPS Clerk, SBI PO, SBI Clerk, RBI Grade B, NABARD, and more banking exams.</p>","","Bank Exam Photo Resizer - IBPS SBI PO Clerk Photo Resize Online Free","false","7401","6a05c839e01b09d2ad6710ce","[]","Bank Exam Photo Tool","Resize photo for IBPS PO, SBI Clerk, RBI exams. 200×230 px, 20-50 KB. Free, instant, browser-based tool.","","4","bank-exam-photo-tool","true","published","","6a05c87de01b09d2ad6710fb","2026-05-14T13:05:01.680000","2026-05-14T13:07:42.468000","69ffeaa17ae1df15a357b75e","arulraj8637@gmail.com","false"
